/work/bjzhang_umass_edu/generative_tmula/mymnist/mnist_tapsgm_relu.py:103: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
tensor(14108.8428, device='cuda:0', grad_fn=<MeanBackward1>) 29000
tensor(586.0789, device='cuda:0', grad_fn=<MeanBackward1>) 29100
tensor(283.2733, device='cuda:0', grad_fn=<MeanBackward1>) 29200
tensor(456.2214, device='cuda:0', grad_fn=<MeanBackward1>) 29300
tensor(438.6251, device='cuda:0', grad_fn=<MeanBackward1>) 29400
tensor(1269.7522, device='cuda:0', grad_fn=<MeanBackward1>) 29500
tensor(172.6286, device='cuda:0', grad_fn=<MeanBackward1>) 29600
tensor(623.2435, device='cuda:0', grad_fn=<MeanBackward1>) 29700
tensor(205.6724, device='cuda:0', grad_fn=<MeanBackward1>) 29800
tensor(275.1005, device='cuda:0', grad_fn=<MeanBackward1>) 29900
tensor(514.8944, device='cuda:0', grad_fn=<MeanBackward1>) 30000
tensor(559.5570, device='cuda:0', grad_fn=<MeanBackward1>) 30100
tensor(724.1173, device='cuda:0', grad_fn=<MeanBackward1>) 30200
tensor(449.5529, device='cuda:0', grad_fn=<MeanBackward1>) 30300
tensor(380.8034, device='cuda:0', grad_fn=<MeanBackward1>) 30400
tensor(595.3927, device='cuda:0', grad_fn=<MeanBackward1>) 30500
tensor(287.2042, device='cuda:0', grad_fn=<MeanBackward1>) 30600
tensor(601.2986, device='cuda:0', grad_fn=<MeanBackward1>) 30700
tensor(530.3725, device='cuda:0', grad_fn=<MeanBackward1>) 30800
tensor(648.8655, device='cuda:0', grad_fn=<MeanBackward1>) 30900
tensor(250.3821, device='cuda:0', grad_fn=<MeanBackward1>) 31000
tensor(1333.9331, device='cuda:0', grad_fn=<MeanBackward1>) 31100
tensor(198.4154, device='cuda:0', grad_fn=<MeanBackward1>) 31200
tensor(348.1206, device='cuda:0', grad_fn=<MeanBackward1>) 31300
tensor(2581.6858, device='cuda:0', grad_fn=<MeanBackward1>) 31400
tensor(1253.8872, device='cuda:0', grad_fn=<MeanBackward1>) 31500
tensor(432.6587, device='cuda:0', grad_fn=<MeanBackward1>) 31600
tensor(313.4296, device='cuda:0', grad_fn=<MeanBackward1>) 31700
tensor(202.6454, device='cuda:0', grad_fn=<MeanBackward1>) 31800
tensor(414.8285, device='cuda:0', grad_fn=<MeanBackward1>) 31900
tensor(697.9901, device='cuda:0', grad_fn=<MeanBackward1>) 32000
tensor(373.1249, device='cuda:0', grad_fn=<MeanBackward1>) 32100
tensor(866.6461, device='cuda:0', grad_fn=<MeanBackward1>) 32200
tensor(248.5409, device='cuda:0', grad_fn=<MeanBackward1>) 32300
tensor(235.5106, device='cuda:0', grad_fn=<MeanBackward1>) 32400
tensor(336.0233, device='cuda:0', grad_fn=<MeanBackward1>) 32500
tensor(169.4535, device='cuda:0', grad_fn=<MeanBackward1>) 32600
tensor(1131.9280, device='cuda:0', grad_fn=<MeanBackward1>) 32700
tensor(644.5729, device='cuda:0', grad_fn=<MeanBackward1>) 32800
tensor(926.6320, device='cuda:0', grad_fn=<MeanBackward1>) 32900
tensor(708.0702, device='cuda:0', grad_fn=<MeanBackward1>) 33000
tensor(2111.6724, device='cuda:0', grad_fn=<MeanBackward1>) 33100
tensor(624.3571, device='cuda:0', grad_fn=<MeanBackward1>) 33200
tensor(552.1316, device='cuda:0', grad_fn=<MeanBackward1>) 33300
tensor(342.3984, device='cuda:0', grad_fn=<MeanBackward1>) 33400
tensor(1303.9462, device='cuda:0', grad_fn=<MeanBackward1>) 33500
tensor(486.5745, device='cuda:0', grad_fn=<MeanBackward1>) 33600
tensor(376.1815, device='cuda:0', grad_fn=<MeanBackward1>) 33700
tensor(331.1942, device='cuda:0', grad_fn=<MeanBackward1>) 33800
tensor(236.9792, device='cuda:0', grad_fn=<MeanBackward1>) 33900
tensor(636.0719, device='cuda:0', grad_fn=<MeanBackward1>) 34000
tensor(599.7178, device='cuda:0', grad_fn=<MeanBackward1>) 34100
tensor(422.7728, device='cuda:0', grad_fn=<MeanBackward1>) 34200
tensor(375.4651, device='cuda:0', grad_fn=<MeanBackward1>) 34300
tensor(630.0303, device='cuda:0', grad_fn=<MeanBackward1>) 34400
tensor(460.5203, device='cuda:0', grad_fn=<MeanBackward1>) 34500
tensor(550.9532, device='cuda:0', grad_fn=<MeanBackward1>) 34600
tensor(279.5219, device='cuda:0', grad_fn=<MeanBackward1>) 34700
tensor(345.4399, device='cuda:0', grad_fn=<MeanBackward1>) 34800
tensor(267.8785, device='cuda:0', grad_fn=<MeanBackward1>) 34900
tensor(480.8260, device='cuda:0', grad_fn=<MeanBackward1>) 35000
tensor(1998.5164, device='cuda:0', grad_fn=<MeanBackward1>) 35100
tensor(221.6907, device='cuda:0', grad_fn=<MeanBackward1>) 35200
tensor(538.0582, device='cuda:0', grad_fn=<MeanBackward1>) 35300
tensor(392.8778, device='cuda:0', grad_fn=<MeanBackward1>) 35400
tensor(556.4183, device='cuda:0', grad_fn=<MeanBackward1>) 35500
