/work/bjzhang_umass_edu/generative_tmula/mymnist/mnist_tapsgm_relu.py:103: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
tensor(435.9729, device='cuda:0', grad_fn=<MeanBackward1>) 34300
tensor(316.4915, device='cuda:0', grad_fn=<MeanBackward1>) 34400
tensor(535.3429, device='cuda:0', grad_fn=<MeanBackward1>) 34500
tensor(591.3420, device='cuda:0', grad_fn=<MeanBackward1>) 34600
tensor(601.6304, device='cuda:0', grad_fn=<MeanBackward1>) 34700
tensor(721.8877, device='cuda:0', grad_fn=<MeanBackward1>) 34800
tensor(827.7643, device='cuda:0', grad_fn=<MeanBackward1>) 34900
tensor(1508.1279, device='cuda:0', grad_fn=<MeanBackward1>) 35000
tensor(420.4873, device='cuda:0', grad_fn=<MeanBackward1>) 35100
tensor(880.9190, device='cuda:0', grad_fn=<MeanBackward1>) 35200
tensor(639.9335, device='cuda:0', grad_fn=<MeanBackward1>) 35300
tensor(788.8513, device='cuda:0', grad_fn=<MeanBackward1>) 35400
tensor(1022.9720, device='cuda:0', grad_fn=<MeanBackward1>) 35500
